Data,Estado
2003-01,1440
2003-02,23
2003-03,28
2003-04,14
2003-05,112
2003-06,403
2003-07,3814
2003-08,8875
2003-09,12633
2003-10,6673
2003-11,10732
2003-12,8293
2004-01,875
2004-02,36
2004-03,29
2004-04,61
2004-05,193
2004-06,637
2004-07,6620
2004-08,17861
2004-09,14249
2004-10,7464
2004-11,15958
2004-12,10231
2005-01,2861
2005-02,121
2005-03,32
2005-04,43
2005-05,101
2005-06,656
2005-07,9464
2005-08,23635
2005-09,12728
2005-10,8689
2005-11,9368
2005-12,3779
2006-01,855
2006-02,110
2006-03,18
2006-04,11
2006-05,8
2006-06,423
2006-07,1955
2006-08,15064
2006-09,13225
2006-10,9346
2006-11,9684
2006-12,5141
2007-01,817
2007-02,39
2007-03,17
2007-04,17
2007-05,90
2007-06,671
2007-07,1885
2007-08,21386
2007-09,22055
2007-10,8346
2007-11,10114
2007-12,3054
2008-01,240
2008-02,99
2008-03,11
2008-04,12
2008-05,30
2008-06,328
2008-07,3020
2008-08,11035
2008-09,9463
2008-10,11568
2008-11,9456
2008-12,3187
2009-01,466
2009-02,26
2009-03,11
2009-04,15
2009-05,8
2009-06,91
2009-07,703
2009-08,5386
2009-09,8961
2009-10,9444
2009-11,12485
2009-12,4068
2010-01,701
2010-02,147
2010-03,141
2010-04,30
2010-05,97
2010-06,441
2010-07,2065
2010-08,21677
2010-09,15187
2010-10,6435
2010-11,7544
2010-12,2731
2011-01,219
2011-02,25
2011-03,16
2011-04,10
2011-05,21
2011-06,199
2011-07,1024
2011-08,3040
2011-09,6821
2011-10,4588
2011-11,5760
2011-12,4840
2012-01,534
2012-02,78
2012-03,16
2012-04,24
2012-05,98
2012-06,305
2012-07,1041
2012-08,9168
2012-09,8190
2012-10,5946
2012-11,8871
2012-12,2950
2013-01,291
2013-02,47
2013-03,20
2013-04,29
2013-05,74
2013-06,323
2013-07,793
2013-08,3173
2013-09,4363
2013-10,5510
2013-11,3844
2013-12,5579
2014-01,570
2014-02,30
2014-03,17
2014-04,23
2014-05,55
2014-06,284
2014-07,813
2014-08,8147
2014-09,6636
2014-10,6241
2014-11,7908
2014-12,4802
2015-01,866
2015-02,92
2015-03,31
2015-04,22
2015-05,84
2015-06,241
2015-07,882
2015-08,7672
2015-09,9394
2015-10,7379
2015-11,9783
2015-12,6718
2016-01,1479
2016-02,370
2016-03,53
2016-04,51
2016-05,148
2016-06,509
2016-07,1732
2016-08,5185
2016-09,3878
2016-10,5954
2016-11,7314
2016-12,3051
2017-01,213
2017-02,14
2017-03,18
2017-04,42
2017-05,121
2017-06,486
2017-07,3696
2017-08,8781
2017-09,15735
2017-10,6146
2017-11,9639
2017-12,4879
2018-01,536
2018-02,36
2018-03,51
2018-04,13
2018-05,78
2018-06,454
2018-07,929
2018-08,2782
2018-09,4892
2018-10,5028
2018-11,6276
2018-12,1005
2019-01,355
2019-02,80
2019-03,46
2019-04,38
2019-05,80
2019-06,315
2019-07,1443
2019-08,10185
2019-09,4618
2019-10,3870
2019-11,7390
2019-12,1745
2020-01,225
2020-02,64
2020-03,63
2020-04,38
2020-05,88
2020-06,491
2020-07,2687
2020-08,10865
2020-09,10876
2020-10,8052
2020-11,2970
2020-12,2184
2021-01,248
2021-02,272
2021-03,34
2021-04,55
2021-05,190
2021-06,424
2021-07,1372
2021-08,7853
2021-09,3828
2021-10,4291
2021-11,3659
2021-12,650
2022-01,202
2022-02,70
2022-03,34
2022-04,37
2022-05,225
2022-06,556
2022-07,1681
2022-08,12472
2022-09,12696
2022-10,7469
2022-11,4507
2022-12,1472
2023-01,330
2023-02,94
2023-03,94
2023-04,58
2023-05,224
2023-06,682
2023-07,2027
2023-08,6725
2023-09,9504
2023-10,11378
2023-11,8187
2023-12,2412
2024-01,633
2024-02,260
2024-03,113
2024-04,52
2024-05,211
2024-06,635
2024-07,3265
2024-08,13803
2024-09,17434
2024-10,7120
2024-11,9555
2024-12,2989
2025-01,356
2025-02,90
2025-03,68
2025-04,77
2025-05,207
2025-06,405
2025-07,837
2025-08,1314
2025-09,2967
2025-10,3682
2025-11,5659
2025-12,2705
2026-01,1042
2026-02,206
2026-03,108
2026-04,18
2026-05,233
2026-06,285
2026-07,511
